jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
1995;Strehla;FB;485;m³/h;485 m³/h;DE;51.3143;13.2201;;;;;;;;;
1996;Ottakringbad;HB Sauna;23;m³/h;23 m³/h;AT;48.224;16.289;;;;;;;;;
1996;Augartenbad;FB;369;m³/h;369 m³/h;AT;47.0689;15.4511;;;;;;;;;
1996;Waidhofen / Thaya;FB Kinderbecken;40;m³/h;40 m³/h;AT;48.8078;15.2847;;;;;;;;;
1996;Strandbad Baden;FB;869;m³/h;869 m³/h;AT;48.0043;16.2339;;;;;;;;;
1996;Oberlaa ;HB Sprudelbecken;80;m³/h;80 m³/h;AT;48.133;16.4;;;;;;;;;
1996;Gars / Kamp;FB;507;m³/h;507 m³/h;AT;48.5803;15.68;;;;;;;;;
1996;LJH Pottenstein;FB;100;m³/h;100 m³/h;AT;47.8711;15.805;;;;;;;;;
1996;Wien Süd - Wiener Flur;HB;50;m³/h;50 m³/h;AT;48.1866;16.3801;;;;;;;;;
1996;Stadt Haag;FB;520;m³/h;520 m³/h;AT;48.11;14.567;;;;;;;;;
1996;Bruck / Leitha;FB;365;m³/h;365 m³/h;AT;48.0221;16.7826;;;;;;;;;
1996;Neunkirchen;HB;210;m³/h;210 m³/h;AT;47.7225;16.0783;;;;;;;;;
1997;Mödling;HB;350;m³/h;350 m³/h;AT;48.0842;16.2852;;;;;;;;;
1997;Oberpullendorf;FB;350;m³/h;350 m³/h;AT;47.5094;16.5117;;;;;;;;;
1997;Gruber Attersee;FB;150;m³/h;150 m³/h;AT;47.9167;13.5414;;;;;;;;;
1997;St. Ruprecht;FB;268;m³/h;268 m³/h;AT;47.1678;15.7082;;;;;;;;;
1997;Stadthallenbad;HB Saunabecken, Damen / Herren;2 x 21;m³/h;2 x 21 m³/h;AT;48.2127;16.3449;;;;;;;;;
1997;Knittelfeld;HB Schwimmer-, Ziel- u. Kinderbecken;198;m³/h;198 m³/h;AT;47.2167;14.8167;;;;;;;;;
1997;Kurmittelhaus Baden;HB Schwefelbecken, Damen / Herren;141;m³/h;141 m³/h;AT;48.008;16.231;;;;;;;;;
1997;Hieflau;FB Erlebnis- u. Kinderbecken;158;m³/h;158 m³/h;AT;47.5918;14.6107;;;;;;;;;
1998;Penzing;FB / HB;768;m³/h;768 m³/h;AT;48.2;16.3;;;;;;;;;
1998;Freizeitzentrum Güssing;FB;40;m³/h;40 m³/h;AT;47.0726;16.3234;;;;;;;;;
1998;Bad Waltersdorf;FB;193;m³/h;193 m³/h;AT;47.0656;16.0333;;;;;;;;;
1998;Dr. Klade Wien;HB;40;m³/h;40 m³/h;AT;48.2078953212661;16.370357468523075;;;;;;Spiegelgasse 2;1010;Wien;Privatkunde
1998;Puch bei Weiz;FB Erlebnis- u. Kinderbecken ;148;m³/h;148 m³/h;AT;47.2423;15.6426;;;;;;;;;
1998;Randegg;FB Mehrzweck- u. Kinderbecken;210;m³/h;210 m³/h;AT;47.9859;14.9042;;;;;;;;;
